"","Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
"25",2017-07-26,"WL1","2","1","V",34,38,"<1","1.6",1,"0.6",NA,NA,NA,NA,"herbivory",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"26",2017-07-26,"WL1","2","1","V",33,41,"<1","2.0",1,"1.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"27",2017-07-26,"WL1","2","1","V",33.5,43,"<1","1.1",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"28",2017-07-26,"WL1","2","1","V",44,19,"<1","1.2",1,"1.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"29",2017-07-26,"WL1","2","1","V",49,23,"~1","3.1",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"30",2017-07-26,"WL1","2","1.5","V",26,19,"<1","4.2",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"31",2017-07-26,"WL1","2","1.5","V",29,4,"<1","2.4",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"32",2017-07-26,"WL1","2","1.5","V",43,2,"<1","2.3",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"33",2017-07-26,"WL1","2","1.5","V",46,14,"~1","3.0",1,"2.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"34",2017-07-26,"WL1","2","2","V",9,45,"<1","1.6",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"35",2017-07-26,"WL1","2","2","V",38,32,"<1","2.1",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"36",2017-07-26,"WL1","2","2","V",39,23,"<1","2.5",1,"1.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"37",2017-07-26,"WL1","2","2","V",47,28,"~1","2.9",1,"2.0",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"38",2017-07-26,"WL1","2","2.5","V",5,28,"<1","1.2",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"39",2017-07-26,"WL1","2","2.5","V",23,34,"<1","1.9",1,"1.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"40",2017-07-26,"WL1","2","3","V",10,48,"<1","3.1",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"41",2017-07-26,"WL1","2","3","V",34,9,"<1","2.1",1,"1.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"42",2017-07-26,"WL1","2","3","V",48,10,"<1","2.2",1,"1.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"43",2017-07-26,"WL1","2","3","V",39,45,"<1","1.7",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"44",2017-07-26,"WL1","2","3.5","V",10,19,"<1","2.1",1,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"45",2017-07-26,"WL1","2","3.5","V",9,32,"<1","1.2",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"46",2017-07-26,"WL1","2","3.5","V",14,49,"<1","1.5",1,"1.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"47",2017-07-26,"WL1","2","3.5","V",28,19,"<1","1.3",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"48",2017-07-26,"WL1","2","3.5","V",33,5,"<1","1.9",1,"1.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"49",2017-07-26,"WL1","2","3.5","V",35,20,"<1","3.8",1,"0.6",NA,NA,NA,NA,"coming out from rock, elongated ?",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"50",2017-07-26,"WL1","2","3.5","V",37,11,"<1","2.5",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"51",2017-07-26,"WL1","2","3.5","V",37,27,"<1","1.6",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"52",2017-07-26,"WL1","2","3.5","V",39,39,"<1","1.8",1,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"53",2017-07-26,"WL1","2","3.5","V",42,6,"<1","1.2",1,"1.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"54",2017-07-26,"WL1","2","4","V",11,21,"<1","2.0",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"55",2017-07-26,"WL1","2","4","V",18,27,"<1","1.1",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"56",2017-07-26,"WL1","2","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2017-07-26,"WL1","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2017-07-26,"WL1","2","5.5","V",17,49,"<1","2.8",1,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"59",2017-07-26,"WL1","2","6","V",29,44,"<1","2.8",1,"1.1",NA,NA,NA,NA,"herbivory",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"60",2017-07-26,"WL1","2","6","V",49,38,"~1","2.2",1,"1.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"61",2017-07-26,"WL1","2","6.5","V",7,33,"<1","2.5",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"62",2017-07-26,"WL1","2","6.5","V",8,30,"<1","2.2",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"63",2017-07-26,"WL1","2","6.5","V",18,38,"<1","2.0",1,"1.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"64",2017-07-26,"WL1","2","6.5","V",37,13,"<1","1.2",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"65",2017-07-26,"WL1","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2017-07-26,"WL1","2","7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2017-07-26,"WL1","2","8","V",8,38,"<1","1.4",1,"1.0",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"68",2017-07-26,"WL1","2","8.5","V",9,3,"<1","1.8",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"69",2017-07-26,"WL1","2","8.5","V",12,19,"<1","1.1",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"70",2017-07-26,"WL1","3","0","V",35,9,"<1","1.6",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"71",2017-07-26,"WL1","3","0.5","V",16,5,"<1","2.5",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"72",2017-07-26,"WL1","3","0.5","V",25,23,"<1","1.9",2,"0.6",NA,NA,NA,NA,"tiny branched veg!",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"73",2017-07-26,"WL1","3","0.5","V",30,24,"<1","1.5",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"74",2017-07-26,"WL1","3","0.5","V",32,27,"<1","1.6",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"75",2017-07-26,"WL1","3","0.5","V",25,42,"~1","5.1",1,"1.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"76",2017-07-26,"WL1","3","0.5","V",28,50,"~1","4.4",1,"1.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"77",2017-07-26,"WL1","3","1","V",11,15,"<1","1.9",1,"1.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"78",2017-07-26,"WL1","3","1","V",2,35,"<1","1.9",1,"0.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"79",2017-07-26,"WL1","3","1","V",18,22,"<1","2.6",1,"1.0",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"80",2017-07-26,"WL1","3","1","V",37,3,"<1","1.1",1,"0.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"81",2017-07-26,"WL1","3","1","V",38,5,"<1","1.2",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"82",2017-07-26,"WL1","3","1","V",39,3,"<1","1.9",1,"1.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"83",2017-07-26,"WL1","3","1","V",40,11,"<1","1.5",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"84",2017-07-26,"WL1","3","1","V",45,8,"<1","2.1",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"85",2017-07-26,"WL1","3","1","V",42,34,"<1","2.6",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"86",2017-07-26,"WL1","3","1.5","V",41,23,"<1","2.2",1,"0.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"87",2017-07-26,"WL1","3","1.5","V",42,40,"<1","1.9",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"88",2017-07-26,"WL1","3","2","V",14,24,"<1","1.1",1,"~1",NA,NA,NA,NA,"wilted leaves",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"89",2017-07-26,"WL1","3","2","V",20,34,"<1","3.1",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"90",2017-07-26,"WL1","3","2","V",28,10,"<1","2.0",1,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"91",2017-07-26,"WL1","3","2.5","V",10,36,"<1","1.7",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"92",2017-07-26,"WL1","3","2.5","V",23,44,"<1","0.8",1,"~0.5",NA,NA,NA,NA,"wilted leaves",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"93",2017-07-26,"WL1","3","3","V",7,47,"<1","1.7",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"94",2017-07-26,"WL1","3","3.5","V",2,25,"<1","1.2",1,"~0.6",NA,NA,NA,NA,"very wilted",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"95",2017-07-26,"WL1","3","3.5","V",3,34,"<1","2.6",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"96",2017-07-26,"WL1","3","3.5","V",5,52,"<1","3.6",1,"1.1",NA,NA,NA,NA,"herbivory",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"97",2017-07-26,"WL1","3","3.5","V",13,1,"<1","2.5",1,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"98",2017-07-26,"WL1","3","3.5","V",27,40,"~1","3.5",1,"1.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"99",2017-07-26,"WL1","3","4","V",22,14,"<1","2.4",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"100",2017-07-26,"WL1","3","4","V",31,47,"<1","2.1",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"101",2017-07-26,"WL1","3","4","V",45,40,"<1","1.3",1,"0.7",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"102",2017-07-26,"WL1","3","4","V",45,46,"<1","1.1",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"103",2017-07-26,"WL1","3","4","V",47,46,"<1","1.1",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"104",2017-07-26,"WL1","3","4.5","V",8,7,"<1","1.1",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"105",2017-07-26,"WL1","3","4.5","V",25,44,"<1","3.4",1,"1.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"106",2018-07-06,"WL1","1","0","V",NA,NA,"~1","3.5",1,"1.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,NA,NA,"blu",NA,NA,NA,NA,"N",NA,NA,0.5
"107",2018-07-06,"WL1","1","0.5","V",45,16,"1.33","3.7",1,"1.5",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,"blu",NA,"blu",NA,NA,NA,NA,"N",NA,NA,1.33
"108",2018-07-06,"WL1","1","0.5","V",42,6,"1.12","3.2",1,"1.1",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,"blu",NA,"blu",NA,NA,NA,NA,"N",NA,NA,1.12
"109",2018-07-06,"WL1","1","1","V",7,11,"~1","2.4",1,"0.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,"blu",NA,"blu",NA,NA,NA,NA,"N",NA,NA,0.5
"110",2018-07-06,"WL1","1","1","V",10,0,"1.53","5.3",1,"1.6",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,"blu",NA,"blu",NA,NA,NA,NA,"N",NA,NA,1.53
"111",2018-07-06,"WL1","1","1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,NA,NA,"blu",NA,NA,NA,NA,NA,NA,NA,NA
"112",2018-07-06,"WL1","1","1.5","V",30,32,"1.45","3.2",1,"1.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,"blu",NA,"blu",NA,NA,NA,NA,"N",NA,NA,1.45
"113",2018-07-06,"WL1","1","2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,"Eva, Mimi, & Niel",NA,NA,NA,NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA
